id,text,label,toxicity_score,splited_text,rationales
348,"@user petista odeia mulher bomita, inteligente e honesta.
se for rica então, essas jornalistas  invejosas do pt se descabelam",obscene,6.0,"['@user', 'petista', 'odeia', 'mulher', 'bomita', ',', 'inteligente', 'e', 'honesta', '.', '\n', 'se', 'for', 'rica', 'então', ',', 'essas', 'jornalistas', ' ', 'invejosas', 'do', 'pt', 'se', 'descabelam']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
12063,"Bofe dá de machão e come viado.
Novinha perde calcinha pra organizador de festa só pra beber cerveja ou vodka de plástico.
Tinha os melhores desfiles cívicos.
Todo mundo já pegou todo mundo e tá tudo bem. 
Vicentina vs IBE sempre será a melhor guerra. https://t.co/qmLs8Z4En4",obscene,7.0,"['Bofe', 'dá', 'de', 'machão', 'e', 'come', 'viado', '.', '\n', 'Novinha', 'perde', 'calcinha', 'pra', 'organizador', 'de', 'festa', 'só', 'pra', 'beber', 'cerveja', 'ou', 'vodka', 'de', 'plástico', '.', '\n', 'Tinha', 'os', 'melhores', 'desfiles', 'cívicos', '.', '\n', 'Todo', 'mundo', 'já', 'pegou', 'todo', 'mundo', 'e', 'tá', 'tudo', 'bem', '.', '\n', 'Vicentina', 'vs', 'IBE', 'sempre', 'será', 'a', 'melhor', 'guerra', '.', 'https://t.co/qmLs8Z4En4']","[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20111,Gente quem e essa luara pra fala da minha pessoa mais baixa q ela e só ela msm deposito de porra aceita ser a segunda opção ta emplorando o ex pra visita com macho na rua sabe nem ser vagabunda disposição eu tenho e só vc sair da onde vc ta escondida boca fedendo...,obscene,7.0,"['Gente', 'quem', 'e', 'essa', 'luara', 'pra', 'fala', 'da', 'minha', 'pessoa', 'mais', 'baixa', 'q', 'ela', 'e', 'só', 'ela', 'msm', 'deposito', 'de', 'porra', 'aceita', 'ser', 'a', 'segunda', 'opção', 'ta', 'emplorando', 'o', 'ex', 'pra', 'visita', 'com', 'macho', 'na', 'rua', 'sabe', 'nem', 'ser', 'vagabunda', 'disposição', 'eu', 'tenho', 'e', 'só', 'vc', 'sair', 'da', 'onde', 'vc', 'ta', 'escondida', 'boca', 'fedendo', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
11994,"se ta 2 ta calma, se ta 3 tá fudido!",obscene,2.0,"['se', 'ta', '2', 'ta', 'calma', ',', 'se', 'ta', '3', 'tá', 'fudido', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1339,"@user 
tic. tac.
a sua hora tá chegando desgraçado!!!!",insult,3.0,"['@user', '\n', 'tic', '.', 'tac', '.', '\n', 'a', 'sua', 'hora', 'tá', 'chegando', 'desgraçado', '!', '!', '!', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
15006,"no no é o caralho 
bem feito, só pra ficar esperto",obscene,3.0,"['no', 'no', 'é', 'o', 'caralho', '\n', 'bem', 'feito', ',', 'só', 'pra', 'ficar', 'esperto']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
11957,rt @user vai lá trouxa se importa e toma no cu de novo otaria,obscene,6.0,"['rt', '@user', 'vai', 'lá', 'trouxa', 'se', 'importa', 'e', 'toma', 'no', 'cu', 'de', 'novo', 'otaria']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
13584,"E ai safada punheteira? Já lavou o grelo hoje sem fazer birra? Batedora de siririca. Army? Mas é nunca, Army respeita os meninos , não usa eles como objeto sexual não sua vagabunda punheteira. Shipper tem é que levar chibatada no lombo pra aprender. sem vergonha",obscene,9.0,"['E', 'ai', 'safada', 'punheteira', '?', 'Já', 'lavou', 'o', 'grelo', 'hoje', 'sem', 'fazer', 'birra', '?', 'Batedora', 'de', 'siririca', '.', 'Army', '?', 'Mas', 'é', 'nunca', ',', 'Army', 'respeita', 'os', 'meninos', ',', 'não', 'usa', 'eles', 'como', 'objeto', 'sexual', 'não', 'sua', 'vagabunda', 'punheteira', '.', 'Shipper', 'tem', 'é', 'que', 'levar', 'chibatada', 'no', 'lombo', 'pra', 'aprender', '.', 'sem', 'vergonha']","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
17705,@user @user lambe meu ovo bauano maldito,obscene,7.0,"['@user', '@user', 'lambe', 'meu', 'ovo', 'bauano', 'maldito']","[0, 0, 1, 1, 1, 0, 1]"
3922,não sei como não tens vergonha dessa merda de pessoas que és,insult,2.0,"['não', 'sei', 'como', 'não', 'tens', 'vergonha', 'dessa', 'merda', 'de', 'pessoas', 'que', 'és']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
