id,text,label,Comments,annotator_id
348,"@user petista odeia mulher bomita, inteligente e honesta.
se for rica então, essas jornalistas  invejosas do pt se descabelam","[[96, 105, 'toxic']]",[],Person3
12063,"Bofe dá de machão e come viado.
Novinha perde calcinha pra organizador de festa só pra beber cerveja ou vodka de plástico.
Tinha os melhores desfiles cívicos.
Todo mundo já pegou todo mundo e tá tudo bem. 
Vicentina vs IBE sempre será a melhor guerra. https://t.co/qmLs8Z4En4","[[25, 30, 'toxic'], [32, 39, 'toxic']]",[],Person3
20111,Gente quem e essa luara pra fala da minha pessoa mais baixa q ela e só ela msm deposito de porra aceita ser a segunda opção ta emplorando o ex pra visita com macho na rua sabe nem ser vagabunda disposição eu tenho e só vc sair da onde vc ta escondida boca fedendo...,"[[54, 59, 'toxic'], [79, 96, 'toxic'], [184, 193, 'toxic'], [251, 263, 'toxic']]",[],Person3
11994,"se ta 2 ta calma, se ta 3 tá fudido!",[],[],Person3
1339,"@user 
tic. tac.
a sua hora tá chegando desgraçado!!!!","[[40, 50, 'toxic']]",[],Person3
15006,"no no é o caralho 
bem feito, só pra ficar esperto","[[10, 17, 'toxic']]",[],Person3
11957,rt @user vai lá trouxa se importa e toma no cu de novo otaria,"[[16, 22, 'toxic'], [36, 46, 'toxic'], [55, 61, 'toxic']]",[],Person3
13584,"E ai safada punheteira? Já lavou o grelo hoje sem fazer birra? Batedora de siririca. Army? Mas é nunca, Army respeita os meninos , não usa eles como objeto sexual não sua vagabunda punheteira. Shipper tem é que levar chibatada no lombo pra aprender. sem vergonha","[[5, 11, 'toxic'], [12, 22, 'toxic'], [35, 40, 'toxic'], [75, 83, 'toxic'], [171, 180, 'toxic'], [181, 191, 'toxic'], [217, 226, 'toxic']]",[],Person3
17705,@user @user lambe meu ovo bauano maldito,"[[12, 25, 'toxic'], [33, 40, 'toxic']]",[],Person3
3922,não sei como não tens vergonha dessa merda de pessoas que és,"[[37, 42, 'toxic']]",[],Person3
10675,"@user puts sim??? como o povo baba ovo dele, é feio chato quem aguenta pqp","[[30, 38, 'toxic'], [47, 51, 'toxic'], [52, 57, 'toxic'], [71, 74, 'toxic']]",[],Person3
12022,"@user @user É nessas horas que a gente pega o viado com a boca na piroca... não, botija...

'Vai fundo rapaz'?

'Sejes' homi!

🤣🤣🤣🤣","[[46, 51, 'toxic'], [66, 72, 'toxic']]",[],Person3
3766,eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,"[[24, 31, 'toxic'], [41, 47, 'toxic'], [50, 54, 'toxic'], [60, 63, 'toxic'], [95, 103, 'toxic']]",[],Person3
13173,"a quantidade de incêndios a acontecerem é absurdo. aos filhos da puta que põem fogos, só espero q um dia ardam vivos lá no meio também","[[55, 69, 'toxic'], [105, 116, 'toxic']]",[],Person3
19576,"ja comeu cu ? — já msm, mas e difícil achar uma que dá o precioso kkkkkk https://t.co/zxcewkuupz","[[3, 11, 'toxic']]",[],Person3
14407,se definido for barriga tanquinho então tenho 9/10 mas fodasse . duvido que pica grossa não dê ao menos 1 ponto :v,"[[55, 62, 'toxic'], [76, 80, 'toxic']]",[],Person3
13128,"rt @user chupar esse picolé = r$8,00
chupar meu pau = diamante no free fire https://t.co/sw5tobaxjk","[[37, 51, 'toxic']]",[],Person3
12173,"E te aceitou também, seu abostado. Se não fosse por Bolsonaro e o PSL, tu ainda estaria te drogando, e dando o bôcu em filme pornô. https://t.co/s0miHXBWZU","[[25, 33, 'toxic'], [111, 115, 'toxic']]",[],Person3
15308,caralho que vizinhos insuportáveis puta merda,"[[0, 7, 'toxic'], [21, 34, 'toxic'], [35, 45, 'toxic']]",[],Person3
12890,"@user Mas eu falei direito... Não te xinguei e vc com esse mimimi tem que tomar no seu cu... Pra que ficar de babaquice então ?? Se mata porra, não tá satisfeita ??","[[59, 65, 'toxic'], [74, 89, 'toxic'], [110, 119, 'toxic'], [129, 136, 'toxic'], [137, 142, 'toxic']]",[],Person3
2202,@user teu cu seu gay kkkkk,"[[10, 12, 'toxic']]",[],Person3
2306,eu aí gay putinha aborteira rs,"[[10, 17, 'toxic'], [18, 27, 'toxic']]",[],Person3
6475,tetinha de brigadeiro toda vez que eu passo do seu lado sinto um cheirinho de cachorro morto se enxerga porra quero mais é que voce se foda filha de um saco de adubo cadela sarnenta eu espero que voce se foda se foda,"[[0, 21, 'toxic'], [65, 92, 'toxic'], [104, 109, 'toxic'], [123, 139, 'toxic'], [140, 165, 'toxic'], [166, 181, 'toxic'], [185, 208, 'toxic'], [209, 216, 'toxic']]",[],Person3
19616,ai vai toma no cu moro eu fico indignada quando nego ta na tpm ou seja lá o q for e vem de putaria pro meu lado falta derrubar sangue na minha boca por nada se fude ninguem tem culpa se a vaginilda ta sangrando,"[[7, 17, 'toxic'], [48, 52, 'toxic'], [91, 98, 'toxic'], [157, 164, 'toxic'], [188, 197, 'toxic']]",[],Person3
